quarter,limits_granted,utilised,non-performing_percentage
2011-Q1,97277.2,84162,0.4
2011-Q2,101637.6,87554.7,0.4
2011-Q3,105572.1,91283.4,0.3
2011-Q4,109727.7,94749.8,0.3
2012-Q1,113945.3,97667.9,0.3
2012-Q2,122306.3,101902.8,0.3
2012-Q3,126620.7,105465.9,0.3
2012-Q4,130656,110261.9,0.3
2013-Q1,133395.2,113627.9,0.3
2013-Q2,137435.1,116145.6,0.3
2013-Q3,140499.1,119488,0.3
2013-Q4,142482.6,121670.3,0.3
2014-Q1,144379.2,123943.7,0.3
2014-Q2,146821,126168.4,0.3
2014-Q3,148708.9,128681,0.4
2014-Q4,150431.5,131134.2,0.4
2015-Q1,151847.4,132907.8,0.3
2015-Q2,153020.1,133949.4,0.4
2015-Q3,154128.3,136001.9,0.4