year,sex,level_of_school,academic_qualification,number_of_vice_principals
1996,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,157
1996,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,87
1996,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,3
1996,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,2
1996,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1996,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1996,MF,PRIMARY,PASS DEGREE,2
1996,F,PRIMARY,PASS DEGREE,0
1996,MF,SECONDARY,PASS DEGREE,41
1996,F,SECONDARY,PASS DEGREE,27
1996,MF,PRE-UNIVERSITY,PASS DEGREE,1
1996,F,PRE-UNIVERSITY,PASS DEGREE,1
1996,MF,PRIMARY,HONOURS DEGREE,1
1996,F,PRIMARY,HONOURS DEGREE,1
1996,MF,SECONDARY,HONOURS DEGREE,28
1996,F,SECONDARY,HONOURS DEGREE,15
1996,MF,PRE-UNIVERSITY,HONOURS DEGREE,7
1996,F,PRE-UNIVERSITY,HONOURS DEGREE,6
1996,MF,PRIMARY,MASTERS DEGREE,1
1996,F,PRIMARY,MASTERS DEGREE,0
1996,MF,SECONDARY,MASTERS DEGREE,23
1996,F,SECONDARY,MASTERS DEGREE,16
1996,MF,PRE-UNIVERSITY,MASTERS DEGREE,3
1996,F,PRE-UNIVERSITY,MASTERS DEGREE,2
1996,MF,PRIMARY,PHD,0
1996,F,PRIMARY,PHD,0
1996,MF,SECONDARY,PHD,0
1996,F,SECONDARY,PHD,0
1996,MF,PRE-UNIVERSITY,PHD,0
1996,F,PRE-UNIVERSITY,PHD,0
1997,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,143
1997,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,86
1997,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1997,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1997,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1997,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1997,MF,PRIMARY,PASS DEGREE,3
1997,F,PRIMARY,PASS DEGREE,1
1997,MF,SECONDARY,PASS DEGREE,58
1997,F,SECONDARY,PASS DEGREE,36
1997,MF,PRE-UNIVERSITY,PASS DEGREE,2
1997,F,PRE-UNIVERSITY,PASS DEGREE,2
1997,MF,PRIMARY,HONOURS DEGREE,3
1997,F,PRIMARY,HONOURS DEGREE,2
1997,MF,SECONDARY,HONOURS DEGREE,34
1997,F,SECONDARY,HONOURS DEGREE,20
1997,MF,PRE-UNIVERSITY,HONOURS DEGREE,9
1997,F,PRE-UNIVERSITY,HONOURS DEGREE,7
1997,MF,PRIMARY,MASTERS DEGREE,3
1997,F,PRIMARY,MASTERS DEGREE,2
1997,MF,SECONDARY,MASTERS DEGREE,19
1997,F,SECONDARY,MASTERS DEGREE,12
1997,MF,PRE-UNIVERSITY,MASTERS DEGREE,2
1997,F,PRE-UNIVERSITY,MASTERS DEGREE,1
1997,MF,PRIMARY,PHD,0
1997,F,PRIMARY,PHD,0
1997,MF,SECONDARY,PHD,0
1997,F,SECONDARY,PHD,0
1997,MF,PRE-UNIVERSITY,PHD,0
1997,F,PRE-UNIVERSITY,PHD,0
1998,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,132
1998,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,81
1998,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1998,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1998,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1998,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1998,MF,PRIMARY,PASS DEGREE,8
1998,F,PRIMARY,PASS DEGREE,5
1998,MF,SECONDARY,PASS DEGREE,54
1998,F,SECONDARY,PASS DEGREE,37
1998,MF,PRE-UNIVERSITY,PASS DEGREE,3
1998,F,PRE-UNIVERSITY,PASS DEGREE,3
1998,MF,PRIMARY,HONOURS DEGREE,3
1998,F,PRIMARY,HONOURS DEGREE,2
1998,MF,SECONDARY,HONOURS DEGREE,42
1998,F,SECONDARY,HONOURS DEGREE,26
1998,MF,PRE-UNIVERSITY,HONOURS DEGREE,8
1998,F,PRE-UNIVERSITY,HONOURS DEGREE,6
1998,MF,PRIMARY,MASTERS DEGREE,1
1998,F,PRIMARY,MASTERS DEGREE,0
1998,MF,SECONDARY,MASTERS DEGREE,19
1998,F,SECONDARY,MASTERS DEGREE,13
1998,MF,PRE-UNIVERSITY,MASTERS DEGREE,3
1998,F,PRE-UNIVERSITY,MASTERS DEGREE,3
1998,MF,PRIMARY,PHD,0
1998,F,PRIMARY,PHD,0
1998,MF,SECONDARY,PHD,0
1998,F,SECONDARY,PHD,0
1998,MF,PRE-UNIVERSITY,PHD,0
1998,F,PRE-UNIVERSITY,PHD,0
1999,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,123
1999,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,78
1999,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1999,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1999,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1999,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
1999,MF,PRIMARY,PASS DEGREE,23
1999,F,PRIMARY,PASS DEGREE,17
1999,MF,SECONDARY,PASS DEGREE,48
1999,F,SECONDARY,PASS DEGREE,34
1999,MF,PRE-UNIVERSITY,PASS DEGREE,2
1999,F,PRE-UNIVERSITY,PASS DEGREE,2
1999,MF,PRIMARY,HONOURS DEGREE,8
1999,F,PRIMARY,HONOURS DEGREE,8
1999,MF,SECONDARY,HONOURS DEGREE,39
1999,F,SECONDARY,HONOURS DEGREE,27
1999,MF,PRE-UNIVERSITY,HONOURS DEGREE,8
1999,F,PRE-UNIVERSITY,HONOURS DEGREE,6
1999,MF,PRIMARY,MASTERS DEGREE,9
1999,F,PRIMARY,MASTERS DEGREE,8
1999,MF,SECONDARY,MASTERS DEGREE,21
1999,F,SECONDARY,MASTERS DEGREE,14
1999,MF,PRE-UNIVERSITY,MASTERS DEGREE,3
1999,F,PRE-UNIVERSITY,MASTERS DEGREE,2
1999,MF,PRIMARY,PHD,0
1999,F,PRIMARY,PHD,0
1999,MF,SECONDARY,PHD,0
1999,F,SECONDARY,PHD,0
1999,MF,PRE-UNIVERSITY,PHD,0
1999,F,PRE-UNIVERSITY,PHD,0
2000,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,104
2000,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,67
2000,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,1
2000,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2000,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2000,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2000,MF,PRIMARY,PASS DEGREE,34
2000,F,PRIMARY,PASS DEGREE,24
2000,MF,SECONDARY,PASS DEGREE,57
2000,F,SECONDARY,PASS DEGREE,41
2000,MF,PRE-UNIVERSITY,PASS DEGREE,1
2000,F,PRE-UNIVERSITY,PASS DEGREE,1
2000,MF,PRIMARY,HONOURS DEGREE,12
2000,F,PRIMARY,HONOURS DEGREE,12
2000,MF,SECONDARY,HONOURS DEGREE,52
2000,F,SECONDARY,HONOURS DEGREE,33
2000,MF,PRE-UNIVERSITY,HONOURS DEGREE,9
2000,F,PRE-UNIVERSITY,HONOURS DEGREE,6
2000,MF,PRIMARY,MASTERS DEGREE,10
2000,F,PRIMARY,MASTERS DEGREE,10
2000,MF,SECONDARY,MASTERS DEGREE,28
2000,F,SECONDARY,MASTERS DEGREE,20
2000,MF,PRE-UNIVERSITY,MASTERS DEGREE,5
2000,F,PRE-UNIVERSITY,MASTERS DEGREE,3
2000,MF,PRIMARY,PHD,0
2000,F,PRIMARY,PHD,0
2000,MF,SECONDARY,PHD,0
2000,F,SECONDARY,PHD,0
2000,MF,PRE-UNIVERSITY,PHD,0
2000,F,PRE-UNIVERSITY,PHD,0
2001,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,84
2001,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,55
2001,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,2
2001,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2001,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2001,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2001,MF,PRIMARY,PASS DEGREE,46
2001,F,PRIMARY,PASS DEGREE,34
2001,MF,SECONDARY,PASS DEGREE,61
2001,F,SECONDARY,PASS DEGREE,41
2001,MF,PRE-UNIVERSITY,PASS DEGREE,0
2001,F,PRE-UNIVERSITY,PASS DEGREE,0
2001,MF,PRIMARY,HONOURS DEGREE,15
2001,F,PRIMARY,HONOURS DEGREE,14
2001,MF,SECONDARY,HONOURS DEGREE,50
2001,F,SECONDARY,HONOURS DEGREE,31
2001,MF,PRE-UNIVERSITY,HONOURS DEGREE,7
2001,F,PRE-UNIVERSITY,HONOURS DEGREE,5
2001,MF,PRIMARY,MASTERS DEGREE,16
2001,F,PRIMARY,MASTERS DEGREE,13
2001,MF,SECONDARY,MASTERS DEGREE,35
2001,F,SECONDARY,MASTERS DEGREE,25
2001,MF,PRE-UNIVERSITY,MASTERS DEGREE,9
2001,F,PRE-UNIVERSITY,MASTERS DEGREE,5
2001,MF,PRIMARY,PHD,0
2001,F,PRIMARY,PHD,0
2001,MF,SECONDARY,PHD,0
2001,F,SECONDARY,PHD,0
2001,MF,PRE-UNIVERSITY,PHD,0
2001,F,PRE-UNIVERSITY,PHD,0
2002,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,68
2002,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,49
2002,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,1
2002,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2002,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2002,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2002,MF,PRIMARY,PASS DEGREE,40
2002,F,PRIMARY,PASS DEGREE,30
2002,MF,SECONDARY,PASS DEGREE,53
2002,F,SECONDARY,PASS DEGREE,31
2002,MF,PRE-UNIVERSITY,PASS DEGREE,2
2002,F,PRE-UNIVERSITY,PASS DEGREE,2
2002,MF,PRIMARY,HONOURS DEGREE,17
2002,F,PRIMARY,HONOURS DEGREE,13
2002,MF,SECONDARY,HONOURS DEGREE,47
2002,F,SECONDARY,HONOURS DEGREE,28
2002,MF,PRE-UNIVERSITY,HONOURS DEGREE,6
2002,F,PRE-UNIVERSITY,HONOURS DEGREE,5
2002,MF,PRIMARY,MASTERS DEGREE,16
2002,F,PRIMARY,MASTERS DEGREE,14
2002,MF,SECONDARY,MASTERS DEGREE,29
2002,F,SECONDARY,MASTERS DEGREE,21
2002,MF,PRE-UNIVERSITY,MASTERS DEGREE,7
2002,F,PRE-UNIVERSITY,MASTERS DEGREE,3
2002,MF,PRIMARY,PHD,0
2002,F,PRIMARY,PHD,0
2002,MF,SECONDARY,PHD,0
2002,F,SECONDARY,PHD,0
2002,MF,PRE-UNIVERSITY,PHD,0
2002,F,PRE-UNIVERSITY,PHD,0
2003,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,44
2003,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,28
2003,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,4
2003,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,2
2003,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2003,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2003,MF,PRIMARY,PASS DEGREE,61
2003,F,PRIMARY,PASS DEGREE,47
2003,MF,SECONDARY,PASS DEGREE,62
2003,F,SECONDARY,PASS DEGREE,37
2003,MF,PRE-UNIVERSITY,PASS DEGREE,4
2003,F,PRE-UNIVERSITY,PASS DEGREE,4
2003,MF,PRIMARY,HONOURS DEGREE,14
2003,F,PRIMARY,HONOURS DEGREE,12
2003,MF,SECONDARY,HONOURS DEGREE,51
2003,F,SECONDARY,HONOURS DEGREE,31
2003,MF,PRE-UNIVERSITY,HONOURS DEGREE,10
2003,F,PRE-UNIVERSITY,HONOURS DEGREE,7
2003,MF,PRIMARY,MASTERS DEGREE,21
2003,F,PRIMARY,MASTERS DEGREE,18
2003,MF,SECONDARY,MASTERS DEGREE,33
2003,F,SECONDARY,MASTERS DEGREE,16
2003,MF,PRE-UNIVERSITY,MASTERS DEGREE,6
2003,F,PRE-UNIVERSITY,MASTERS DEGREE,5
2003,MF,PRIMARY,PHD,0
2003,F,PRIMARY,PHD,0
2003,MF,SECONDARY,PHD,0
2003,F,SECONDARY,PHD,0
2003,MF,PRE-UNIVERSITY,PHD,0
2003,F,PRE-UNIVERSITY,PHD,0
2004,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,43
2004,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,30
2004,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,1
2004,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,1
2004,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2004,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2004,MF,PRIMARY,PASS DEGREE,76
2004,F,PRIMARY,PASS DEGREE,57
2004,MF,SECONDARY,PASS DEGREE,68
2004,F,SECONDARY,PASS DEGREE,43
2004,MF,PRE-UNIVERSITY,PASS DEGREE,5
2004,F,PRE-UNIVERSITY,PASS DEGREE,4
2004,MF,PRIMARY,HONOURS DEGREE,14
2004,F,PRIMARY,HONOURS DEGREE,12
2004,MF,SECONDARY,HONOURS DEGREE,60
2004,F,SECONDARY,HONOURS DEGREE,38
2004,MF,PRE-UNIVERSITY,HONOURS DEGREE,13
2004,F,PRE-UNIVERSITY,HONOURS DEGREE,7
2004,MF,PRIMARY,MASTERS DEGREE,27
2004,F,PRIMARY,MASTERS DEGREE,21
2004,MF,SECONDARY,MASTERS DEGREE,40
2004,F,SECONDARY,MASTERS DEGREE,20
2004,MF,PRE-UNIVERSITY,MASTERS DEGREE,9
2004,F,PRE-UNIVERSITY,MASTERS DEGREE,6
2004,MF,PRIMARY,PHD,0
2004,F,PRIMARY,PHD,0
2004,MF,SECONDARY,PHD,0
2004,F,SECONDARY,PHD,0
2004,MF,PRE-UNIVERSITY,PHD,0
2004,F,PRE-UNIVERSITY,PHD,0
2005,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,37
2005,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,26
2005,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,1
2005,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,1
2005,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2005,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2005,MF,PRIMARY,PASS DEGREE,83
2005,F,PRIMARY,PASS DEGREE,66
2005,MF,SECONDARY,PASS DEGREE,1
2005,F,SECONDARY,PASS DEGREE,45
2005,MF,PRE-UNIVERSITY,PASS DEGREE,4
2005,F,PRE-UNIVERSITY,PASS DEGREE,3
2005,MF,PRIMARY,HONOURS DEGREE,16
2005,F,PRIMARY,HONOURS DEGREE,14
2005,MF,SECONDARY,HONOURS DEGREE,76
2005,F,SECONDARY,HONOURS DEGREE,42
2005,MF,PRE-UNIVERSITY,HONOURS DEGREE,14
2005,F,PRE-UNIVERSITY,HONOURS DEGREE,7
2005,MF,PRIMARY,MASTERS DEGREE,38
2005,F,PRIMARY,MASTERS DEGREE,25
2005,MF,SECONDARY,MASTERS DEGREE,69
2005,F,SECONDARY,MASTERS DEGREE,25
2005,MF,PRE-UNIVERSITY,MASTERS DEGREE,7
2005,F,PRE-UNIVERSITY,MASTERS DEGREE,3
2005,MF,PRIMARY,PHD,0
2005,F,PRIMARY,PHD,0
2005,MF,SECONDARY,PHD,43
2005,F,SECONDARY,PHD,0
2005,MF,PRE-UNIVERSITY,PHD,0
2005,F,PRE-UNIVERSITY,PHD,0
2006,MF,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,30
2006,F,PRIMARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,20
2006,MF,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,2
2006,F,SECONDARY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,1
2006,MF,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2006,F,PRE-UNIVERSITY,GCE 'O' LEVEL/'A' LEVEL/DIPLOMA,0
2006,MF,PRIMARY,PASS DEGREE,81
2006,F,PRIMARY,PASS DEGREE,65
2006,MF,SECONDARY,PASS DEGREE,85
2006,F,SECONDARY,PASS DEGREE,47
2006,MF,PRE-UNIVERSITY,PASS DEGREE,4
2006,F,PRE-UNIVERSITY,PASS DEGREE,3
2006,MF,PRIMARY,HONOURS DEGREE,25
2006,F,PRIMARY,HONOURS DEGREE,20
2006,MF,SECONDARY,HONOURS DEGREE,69
2006,F,SECONDARY,HONOURS DEGREE,39
2006,MF,PRE-UNIVERSITY,HONOURS DEGREE,12
2006,F,PRE-UNIVERSITY,HONOURS DEGREE,6
2006,MF,PRIMARY,MASTERS DEGREE,56
2006,F,PRIMARY,MASTERS DEGREE,38
2006,MF,SECONDARY,MASTERS DEGREE,62
2006,F,SECONDARY,MASTERS DEGREE,36
2006,MF,PRE-UNIVERSITY,MASTERS DEGREE,9
2006,F,PRE-UNIVERSITY,MASTERS DEGREE,4
2006,MF,PRIMARY,PHD,0
2006,F,PRIMARY,PHD,0
2006,MF,SECONDARY,PHD,0
2006,F,SECONDARY,PHD,0
2006,MF,PRE-UNIVERSITY,PHD,0
