year,sex,level_of_school,length_of_service,no_of_vice_principals
2006,F,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2007,MF,PRIMARY,0 - 9 YEARS,18
2007,F,PRIMARY,0 - 9 YEARS,10
2007,MF,SECONDARY,0 - 9 YEARS,26
2007,F,SECONDARY,0 - 9 YEARS,6
2007,MF,PRE-UNIVERSITY,0 - 9 YEARS,9
2007,F,PRE-UNIVERSITY,0 - 9 YEARS,1
2007,MF,PRIMARY,10 - 14 YEARS,45
2007,F,PRIMARY,10 - 14 YEARS,27
2007,MF,SECONDARY,10 - 14 YEARS,55
2007,F,SECONDARY,10 - 14 YEARS,19
2007,MF,PRE-UNIVERSITY,10 - 14 YEARS,8
2007,F,PRE-UNIVERSITY,10 - 14 YEARS,5
2007,MF,PRIMARY,15 - 19 YEARS,40
2007,F,PRIMARY,15 - 19 YEARS,33
2007,MF,SECONDARY,15 - 19 YEARS,40
2007,F,SECONDARY,15 - 19 YEARS,28
2007,MF,PRE-UNIVERSITY,15 - 19 YEARS,5
2007,F,PRE-UNIVERSITY,15 - 19 YEARS,3
2007,MF,PRIMARY,20 - 24 YEARS,44
2007,F,PRIMARY,20 - 24 YEARS,32
2007,MF,SECONDARY,20 - 24 YEARS,44
2007,F,SECONDARY,20 - 24 YEARS,32
2007,MF,PRE-UNIVERSITY,20 - 24 YEARS,6
2007,F,PRE-UNIVERSITY,20 - 24 YEARS,4
2007,MF,PRIMARY,25 - 29 YEARS,33
2007,F,PRIMARY,25 - 29 YEARS,27
2007,MF,SECONDARY,25 - 29 YEARS,35
2007,F,SECONDARY,25 - 29 YEARS,27
2007,MF,PRE-UNIVERSITY,25 - 29 YEARS,0
2007,F,PRE-UNIVERSITY,25 - 29 YEARS,0
2007,MF,PRIMARY,30 YEARS & ABOVE,16
2007,F,PRIMARY,30 YEARS & ABOVE,16
2007,MF,SECONDARY,30 YEARS & ABOVE,17
2007,F,SECONDARY,30 YEARS & ABOVE,12
2007,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2007,F,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2008,MF,PRIMARY,0 - 9 YEARS,14
2008,F,PRIMARY,0 - 9 YEARS,6
2008,MF,SECONDARY,0 - 9 YEARS,23
2008,F,SECONDARY,0 - 9 YEARS,8
2008,MF,PRE-UNIVERSITY,0 - 9 YEARS,4
2008,F,PRE-UNIVERSITY,0 - 9 YEARS,0
2008,MF,PRIMARY,10 - 14 YEARS,42
2008,F,PRIMARY,10 - 14 YEARS,24
2008,MF,SECONDARY,10 - 14 YEARS,58
2008,F,SECONDARY,10 - 14 YEARS,26
2008,MF,PRE-UNIVERSITY,10 - 14 YEARS,12
2008,F,PRE-UNIVERSITY,10 - 14 YEARS,7
2008,MF,PRIMARY,15 - 19 YEARS,46
2008,F,PRIMARY,15 - 19 YEARS,39
2008,MF,SECONDARY,15 - 19 YEARS,33
2008,F,SECONDARY,15 - 19 YEARS,16
2008,MF,PRE-UNIVERSITY,15 - 19 YEARS,5
2008,F,PRE-UNIVERSITY,15 - 19 YEARS,3
2008,MF,PRIMARY,20 - 24 YEARS,41
2008,F,PRIMARY,20 - 24 YEARS,31
2008,MF,SECONDARY,20 - 24 YEARS,47
2008,F,SECONDARY,20 - 24 YEARS,36
2008,MF,PRE-UNIVERSITY,20 - 24 YEARS,8
2008,F,PRE-UNIVERSITY,20 - 24 YEARS,5
2008,MF,PRIMARY,25 - 29 YEARS,43
2008,F,PRIMARY,25 - 29 YEARS,34
2008,MF,SECONDARY,25 - 29 YEARS,37
2008,F,SECONDARY,25 - 29 YEARS,28
2008,MF,PRE-UNIVERSITY,25 - 29 YEARS,0
2008,F,PRE-UNIVERSITY,25 - 29 YEARS,0
2008,MF,PRIMARY,30 YEARS & ABOVE,12
2008,F,PRIMARY,30 YEARS & ABOVE,12
2008,MF,SECONDARY,30 YEARS & ABOVE,19
2008,F,SECONDARY,30 YEARS & ABOVE,14
2008,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2008,F,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2009,MF,PRIMARY,0 - 9 YEARS,9
2009,F,PRIMARY,0 - 9 YEARS,2
2009,MF,SECONDARY,0 - 9 YEARS,24
2009,F,SECONDARY,0 - 9 YEARS,9
2009,MF,PRE-UNIVERSITY,0 - 9 YEARS,6
2009,F,PRE-UNIVERSITY,0 - 9 YEARS,2
2009,MF,PRIMARY,10 - 14 YEARS,54
2009,F,PRIMARY,10 - 14 YEARS,34
2009,MF,SECONDARY,10 - 14 YEARS,61
2009,F,SECONDARY,10 - 14 YEARS,25
2009,MF,PRE-UNIVERSITY,10 - 14 YEARS,7
2009,F,PRE-UNIVERSITY,10 - 14 YEARS,4
2009,MF,PRIMARY,15 - 19 YEARS,55
2009,F,PRIMARY,15 - 19 YEARS,42
2009,MF,SECONDARY,15 - 19 YEARS,39
2009,F,SECONDARY,15 - 19 YEARS,20
2009,MF,PRE-UNIVERSITY,15 - 19 YEARS,2
2009,F,PRE-UNIVERSITY,15 - 19 YEARS,2
2009,MF,PRIMARY,20 - 24 YEARS,30
2009,F,PRIMARY,20 - 24 YEARS,24
2009,MF,SECONDARY,20 - 24 YEARS,42
2009,F,SECONDARY,20 - 24 YEARS,32
2009,MF,PRE-UNIVERSITY,20 - 24 YEARS,9
2009,F,PRE-UNIVERSITY,20 - 24 YEARS,5
2009,MF,PRIMARY,25 - 29 YEARS,50
2009,F,PRIMARY,25 - 29 YEARS,40
2009,MF,SECONDARY,25 - 29 YEARS,47
2009,F,SECONDARY,25 - 29 YEARS,33
2009,MF,PRE-UNIVERSITY,25 - 29 YEARS,0
2009,F,PRE-UNIVERSITY,25 - 29 YEARS,0
2009,MF,PRIMARY,30 YEARS & ABOVE,9
2009,F,PRIMARY,30 YEARS & ABOVE,9
2009,MF,SECONDARY,30 YEARS & ABOVE,23
2009,F,SECONDARY,30 YEARS & ABOVE,18
2009,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2009,F,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2010,MF,PRIMARY,0 - 9 YEARS,7
2010,F,PRIMARY,0 - 9 YEARS,2
2010,MF,SECONDARY,0 - 9 YEARS,20
2010,F,SECONDARY,0 - 9 YEARS,6
2010,MF,PRE-UNIVERSITY,0 - 9 YEARS,5
2010,F,PRE-UNIVERSITY,0 - 9 YEARS,2
2010,MF,PRIMARY,10 - 14 YEARS,73
2010,F,PRIMARY,10 - 14 YEARS,40
2010,MF,SECONDARY,10 - 14 YEARS,72
2010,F,SECONDARY,10 - 14 YEARS,28
2010,MF,PRE-UNIVERSITY,10 - 14 YEARS,11
2010,F,PRE-UNIVERSITY,10 - 14 YEARS,6
2010,MF,PRIMARY,15 - 19 YEARS,60
2010,F,PRIMARY,15 - 19 YEARS,44
2010,MF,SECONDARY,15 - 19 YEARS,49
2010,F,SECONDARY,15 - 19 YEARS,25
2010,MF,PRE-UNIVERSITY,15 - 19 YEARS,3
2010,F,PRE-UNIVERSITY,15 - 19 YEARS,1
2010,MF,PRIMARY,20 - 24 YEARS,25
2010,F,PRIMARY,20 - 24 YEARS,22
2010,MF,SECONDARY,20 - 24 YEARS,46
2010,F,SECONDARY,20 - 24 YEARS,35
2010,MF,PRE-UNIVERSITY,20 - 24 YEARS,6
2010,F,PRE-UNIVERSITY,20 - 24 YEARS,3
2010,MF,PRIMARY,25 - 29 YEARS,46
2010,F,PRIMARY,25 - 29 YEARS,34
2010,MF,SECONDARY,25 - 29 YEARS,42
2010,F,SECONDARY,25 - 29 YEARS,31
2010,MF,PRE-UNIVERSITY,25 - 29 YEARS,4
2010,F,PRE-UNIVERSITY,25 - 29 YEARS,3
2010,MF,PRIMARY,30 YEARS & ABOVE,13
2010,F,PRIMARY,30 YEARS & ABOVE,12
2010,MF,SECONDARY,30 YEARS & ABOVE,25
2010,F,SECONDARY,30 YEARS & ABOVE,19
2010,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2010,F,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2011,MF,PRIMARY,0 - 9 YEARS,10
2011,F,PRIMARY,0 - 9 YEARS,3
2011,MF,SECONDARY,0 - 9 YEARS,29
2011,F,SECONDARY,0 - 9 YEARS,11
2011,MF,PRE-UNIVERSITY,0 - 9 YEARS,8
2011,F,PRE-UNIVERSITY,0 - 9 YEARS,3
2011,MF,PRIMARY,10 - 14 YEARS,78
2011,F,PRIMARY,10 - 14 YEARS,47
2011,MF,SECONDARY,10 - 14 YEARS,75
2011,F,SECONDARY,10 - 14 YEARS,20
2011,MF,PRE-UNIVERSITY,10 - 14 YEARS,8
2011,F,PRE-UNIVERSITY,10 - 14 YEARS,3
2011,MF,PRIMARY,15 - 19 YEARS,70
2011,F,PRIMARY,15 - 19 YEARS,44
2011,MF,SECONDARY,15 - 19 YEARS,67
2011,F,SECONDARY,15 - 19 YEARS,34
2011,MF,PRE-UNIVERSITY,15 - 19 YEARS,6
2011,F,PRE-UNIVERSITY,15 - 19 YEARS,5
2011,MF,PRIMARY,20 - 24 YEARS,37
2011,F,PRIMARY,20 - 24 YEARS,32
2011,MF,SECONDARY,20 - 24 YEARS,40
2011,F,SECONDARY,20 - 24 YEARS,27
2011,MF,PRE-UNIVERSITY,20 - 24 YEARS,5
2011,F,PRE-UNIVERSITY,20 - 24 YEARS,3
2011,MF,PRIMARY,25 - 29 YEARS,38
2011,F,PRIMARY,25 - 29 YEARS,28
2011,MF,SECONDARY,25 - 29 YEARS,42
2011,F,SECONDARY,25 - 29 YEARS,30
2011,MF,PRE-UNIVERSITY,25 - 29 YEARS,4
2011,F,PRE-UNIVERSITY,25 - 29 YEARS,3
2011,MF,PRIMARY,30 YEARS & ABOVE,23
2011,F,PRIMARY,30 YEARS & ABOVE,20
2011,MF,SECONDARY,30 YEARS & ABOVE,28
2011,F,SECONDARY,30 YEARS & ABOVE,23
2011,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2011,F,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2012,MF,PRIMARY,0 - 9 YEARS,14
2012,F,PRIMARY,0 - 9 YEARS,4
2012,MF,SECONDARY,0 - 9 YEARS,31
2012,F,SECONDARY,0 - 9 YEARS,13
2012,MF,PRE-UNIVERSITY,0 - 9 YEARS,10
2012,F,PRE-UNIVERSITY,0 - 9 YEARS,3
2012,MF,PRIMARY,10 - 14 YEARS,75
2012,F,PRIMARY,10 - 14 YEARS,41
2012,MF,SECONDARY,10 - 14 YEARS,86
2012,F,SECONDARY,10 - 14 YEARS,27
2012,MF,PRE-UNIVERSITY,10 - 14 YEARS,11
2012,F,PRE-UNIVERSITY,10 - 14 YEARS,5
2012,MF,PRIMARY,15 - 19 YEARS,72
2012,F,PRIMARY,15 - 19 YEARS,43
2012,MF,SECONDARY,15 - 19 YEARS,82
2012,F,SECONDARY,15 - 19 YEARS,42
2012,MF,PRE-UNIVERSITY,15 - 19 YEARS,5
2012,F,PRE-UNIVERSITY,15 - 19 YEARS,3
2012,MF,PRIMARY,20 - 24 YEARS,49
2012,F,PRIMARY,20 - 24 YEARS,43
2012,MF,SECONDARY,20 - 24 YEARS,32
2012,F,SECONDARY,20 - 24 YEARS,19
2012,MF,PRE-UNIVERSITY,20 - 24 YEARS,4
2012,F,PRE-UNIVERSITY,20 - 24 YEARS,2
2012,MF,PRIMARY,25 - 29 YEARS,32
2012,F,PRIMARY,25 - 29 YEARS,23
2012,MF,SECONDARY,25 - 29 YEARS,52
2012,F,SECONDARY,25 - 29 YEARS,37
2012,MF,PRE-UNIVERSITY,25 - 29 YEARS,5
2012,F,PRE-UNIVERSITY,25 - 29 YEARS,4
2012,MF,PRIMARY,30 YEARS & ABOVE,27
2012,F,PRIMARY,30 YEARS & ABOVE,23
2012,MF,SECONDARY,30 YEARS & ABOVE,33
2012,F,SECONDARY,30 YEARS & ABOVE,27
2012,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,1
2012,F,PRE-UNIVERSITY,30 YEARS & ABOVE,1
2013,MF,PRIMARY,0 - 9 YEARS,13
2013,F,PRIMARY,0 - 9 YEARS,4
2013,MF,SECONDARY,0 - 9 YEARS,22
2013,F,SECONDARY,0 - 9 YEARS,6
2013,MF,PRE-UNIVERSITY,0 - 9 YEARS,8
2013,F,PRE-UNIVERSITY,0 - 9 YEARS,2
2013,MF,PRIMARY,10 - 14 YEARS,58
2013,F,PRIMARY,10 - 14 YEARS,35
2013,MF,SECONDARY,10 - 14 YEARS,86
2013,F,SECONDARY,10 - 14 YEARS,37
2013,MF,PRE-UNIVERSITY,10 - 14 YEARS,17
2013,F,PRE-UNIVERSITY,10 - 14 YEARS,5
2013,MF,PRIMARY,15 - 19 YEARS,95
2013,F,PRIMARY,15 - 19 YEARS,50
2013,MF,SECONDARY,15 - 19 YEARS,91
2013,F,SECONDARY,15 - 19 YEARS,49
2013,MF,PRE-UNIVERSITY,15 - 19 YEARS,8
2013,F,PRE-UNIVERSITY,15 - 19 YEARS,4
2013,MF,PRIMARY,20 - 24 YEARS,48
2013,F,PRIMARY,20 - 24 YEARS,44
2013,MF,SECONDARY,20 - 24 YEARS,33
2013,F,SECONDARY,20 - 24 YEARS,20
2013,MF,PRE-UNIVERSITY,20 - 24 YEARS,4
2013,F,PRE-UNIVERSITY,20 - 24 YEARS,2
2013,MF,PRIMARY,25 - 29 YEARS,35
2013,F,PRIMARY,25 - 29 YEARS,29
2013,MF,SECONDARY,25 - 29 YEARS,50
2013,F,SECONDARY,25 - 29 YEARS,32
2013,MF,PRE-UNIVERSITY,25 - 29 YEARS,5
2013,F,PRE-UNIVERSITY,25 - 29 YEARS,4
2013,MF,PRIMARY,30 YEARS & ABOVE,34
2013,F,PRIMARY,30 YEARS & ABOVE,28
2013,MF,SECONDARY,30 YEARS & ABOVE,40
2013,F,SECONDARY,30 YEARS & ABOVE,32
2013,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2013,F,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2014,MF,PRIMARY,0 - 9 YEARS,16
2014,F,PRIMARY,0 - 9 YEARS,6
2014,MF,SECONDARY,0 - 9 YEARS,19
2014,F,SECONDARY,0 - 9 YEARS,7
2014,MF,PRE-UNIVERSITY,0 - 9 YEARS,7
2014,F,PRE-UNIVERSITY,0 - 9 YEARS,1
2014,MF,PRIMARY,10 - 14 YEARS,42
2014,F,PRIMARY,10 - 14 YEARS,22
2014,MF,SECONDARY,10 - 14 YEARS,79
2014,F,SECONDARY,10 - 14 YEARS,28
2014,MF,PRE-UNIVERSITY,10 - 14 YEARS,18
2014,F,PRE-UNIVERSITY,10 - 14 YEARS,4
2014,MF,PRIMARY,15 - 19 YEARS,119
2014,F,PRIMARY,15 - 19 YEARS,79
2014,MF,SECONDARY,15 - 19 YEARS,87
2014,F,SECONDARY,15 - 19 YEARS,43
2014,MF,PRE-UNIVERSITY,15 - 19 YEARS,7
2014,F,PRE-UNIVERSITY,15 - 19 YEARS,1
2014,MF,PRIMARY,20 - 24 YEARS,55
2014,F,PRIMARY,20 - 24 YEARS,44
2014,MF,SECONDARY,20 - 24 YEARS,46
2014,F,SECONDARY,20 - 24 YEARS,28
2014,MF,PRE-UNIVERSITY,20 - 24 YEARS,3
2014,F,PRE-UNIVERSITY,20 - 24 YEARS,3
2014,MF,PRIMARY,25 - 29 YEARS,30
2014,F,PRIMARY,25 - 29 YEARS,25
2014,MF,SECONDARY,25 - 29 YEARS,41
2014,F,SECONDARY,25 - 29 YEARS,27
2014,MF,PRE-UNIVERSITY,25 - 29 YEARS,6
2014,F,PRE-UNIVERSITY,25 - 29 YEARS,4
2014,MF,PRIMARY,30 YEARS & ABOVE,40
2014,F,PRIMARY,30 YEARS & ABOVE,31
2014,MF,SECONDARY,30 YEARS & ABOVE,47
2014,F,SECONDARY,30 YEARS & ABOVE,35
2014,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,1
2014,F,PRE-UNIVERSITY,30 YEARS & ABOVE,1
2015,MF,PRIMARY,0 - 9 YEARS,13
2015,F,PRIMARY,0 - 9 YEARS,7
2015,MF,SECONDARY,0 - 9 YEARS,11
2015,F,SECONDARY,0 - 9 YEARS,3
2015,MF,PRE-UNIVERSITY,0 - 9 YEARS,4
2015,F,PRE-UNIVERSITY,0 - 9 YEARS,2
2015,MF,PRIMARY,10 - 14 YEARS,33
2015,F,PRIMARY,10 - 14 YEARS,17
2015,MF,SECONDARY,10 - 14 YEARS,76
2015,F,SECONDARY,10 - 14 YEARS,23
2015,MF,PRE-UNIVERSITY,10 - 14 YEARS,16
2015,F,PRE-UNIVERSITY,10 - 14 YEARS,3
2015,MF,PRIMARY,15 - 19 YEARS,120
2015,F,PRIMARY,15 - 19 YEARS,71
2015,MF,SECONDARY,15 - 19 YEARS,81
2015,F,SECONDARY,15 - 19 YEARS,35
2015,MF,PRE-UNIVERSITY,15 - 19 YEARS,9
2015,F,PRE-UNIVERSITY,15 - 19 YEARS,3
2015,MF,PRIMARY,20 - 24 YEARS,65
2015,F,PRIMARY,20 - 24 YEARS,52
2015,MF,SECONDARY,20 - 24 YEARS,55
2015,F,SECONDARY,20 - 24 YEARS,30
2015,MF,PRE-UNIVERSITY,20 - 24 YEARS,3
2015,F,PRE-UNIVERSITY,20 - 24 YEARS,2
2015,MF,PRIMARY,25 - 29 YEARS,26
2015,F,PRIMARY,25 - 29 YEARS,22
2015,MF,SECONDARY,25 - 29 YEARS,42
2015,F,SECONDARY,25 - 29 YEARS,27
2015,MF,PRE-UNIVERSITY,25 - 29 YEARS,3
2015,F,PRE-UNIVERSITY,25 - 29 YEARS,2
2015,MF,PRIMARY,30 YEARS & ABOVE,46
2015,F,PRIMARY,30 YEARS & ABOVE,37
2015,MF,SECONDARY,30 YEARS & ABOVE,50
2015,F,SECONDARY,30 YEARS & ABOVE,37
2015,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,4
2015,F,PRE-UNIVERSITY,30 YEARS & ABOVE,4
2016,MF,PRIMARY,0 - 9 YEARS,6
2016,F,PRIMARY,0 - 9 YEARS,3
2016,MF,SECONDARY,0 - 9 YEARS,10
2016,F,SECONDARY,0 - 9 YEARS,2
2016,MF,PRE-UNIVERSITY,0 - 9 YEARS,3
2016,F,PRE-UNIVERSITY,0 - 9 YEARS,2
2016,MF,PRIMARY,10 - 14 YEARS,43
2016,F,PRIMARY,10 - 14 YEARS,28
2016,MF,SECONDARY,10 - 14 YEARS,69
2016,F,SECONDARY,10 - 14 YEARS,25
2016,MF,PRE-UNIVERSITY,10 - 14 YEARS,14
2016,F,PRE-UNIVERSITY,10 - 14 YEARS,4
2016,MF,PRIMARY,15 - 19 YEARS,101
2016,F,PRIMARY,15 - 19 YEARS,62
2016,MF,SECONDARY,15 - 19 YEARS,65
2016,F,SECONDARY,15 - 19 YEARS,21
2016,MF,PRE-UNIVERSITY,15 - 19 YEARS,11
2016,F,PRE-UNIVERSITY,15 - 19 YEARS,5
2016,MF,PRIMARY,20 - 24 YEARS,77
2016,F,PRIMARY,20 - 24 YEARS,53
2016,MF,SECONDARY,20 - 24 YEARS,67
2016,F,SECONDARY,20 - 24 YEARS,39
2016,MF,PRE-UNIVERSITY,20 - 24 YEARS,6
2016,F,PRE-UNIVERSITY,20 - 24 YEARS,3
2016,MF,PRIMARY,25 - 29 YEARS,29
2016,F,PRIMARY,25 - 29 YEARS,23
2016,MF,SECONDARY,25 - 29 YEARS,29
2016,F,SECONDARY,25 - 29 YEARS,18
2016,MF,PRE-UNIVERSITY,25 - 29 YEARS,4
2016,F,PRE-UNIVERSITY,25 - 29 YEARS,2
2016,MF,PRIMARY,30 YEARS & ABOVE,46
2016,F,PRIMARY,30 YEARS & ABOVE,38
2016,MF,SECONDARY,30 YEARS & ABOVE,58
2016,F,SECONDARY,30 YEARS & ABOVE,41
2016,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,4
2016,F,PRE-UNIVERSITY,30 YEARS & ABOVE,4
2017,MF,PRIMARY,0 - 9 YEARS,4
2017,F,PRIMARY,0 - 9 YEARS,3
2017,MF,SECONDARY,0 - 9 YEARS,7
2017,F,SECONDARY,0 - 9 YEARS,1
2017,MF,PRE-UNIVERSITY,0 - 9 YEARS,1
2017,F,PRE-UNIVERSITY,0 - 9 YEARS,1
2017,MF,PRIMARY,10 - 14 YEARS,38
2017,F,PRIMARY,10 - 14 YEARS,23
2017,MF,SECONDARY,10 - 14 YEARS,63
2017,F,SECONDARY,10 - 14 YEARS,21
2017,MF,PRE-UNIVERSITY,10 - 14 YEARS,14
2017,F,PRE-UNIVERSITY,10 - 14 YEARS,5
2017,MF,PRIMARY,15 - 19 YEARS,97
2017,F,PRIMARY,15 - 19 YEARS,59
2017,MF,SECONDARY,15 - 19 YEARS,67
2017,F,SECONDARY,15 - 19 YEARS,25
2017,MF,PRE-UNIVERSITY,15 - 19 YEARS,12
2017,F,PRE-UNIVERSITY,15 - 19 YEARS,5
2017,MF,PRIMARY,20 - 24 YEARS,72
2017,F,PRIMARY,20 - 24 YEARS,46
2017,MF,SECONDARY,20 - 24 YEARS,65
2017,F,SECONDARY,20 - 24 YEARS,32
2017,MF,PRE-UNIVERSITY,20 - 24 YEARS,5
2017,F,PRE-UNIVERSITY,20 - 24 YEARS,2
2017,MF,PRIMARY,25 - 29 YEARS,42
2017,F,PRIMARY,25 - 29 YEARS,37
2017,MF,SECONDARY,25 - 29 YEARS,31
2017,F,SECONDARY,25 - 29 YEARS,18
2017,MF,PRE-UNIVERSITY,25 - 29 YEARS,5
2017,F,PRE-UNIVERSITY,25 - 29 YEARS,2
2017,MF,PRIMARY,30 YEARS & ABOVE,49
2017,F,PRIMARY,30 YEARS & ABOVE,40
2017,MF,SECONDARY,30 YEARS & ABOVE,58
2017,F,SECONDARY,30 YEARS & ABOVE,43
2017,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,5
2017,F,PRE-UNIVERSITY,30 YEARS & ABOVE,4
